# parent (Z,A) - child (Z,A) - branching ratio [x 100] - decay time [value] - decay time [unit] (> 1 msec)
H   3 He  3    100   12.32 y  
He  6 Li  6    100   806.7 ms 
He  8 Li  8     84   119.1 ms 
He  8 Li  7     16   119.1 ms 
Li  8 Be  8    100   839.9 ms
Li  9 Be  8   50.8   178.3 ms
Li  9 Be  9   49.2   178.3 ms
Be 11 B  11   96.9   13.76 s
Be 11 Li  7    3.1   13.76 s
Be 12 B  12   99.5   21.46 ms 
Be 12 B  11    0.5   21.46 ms 
Be 14 B  13     81    4.35 ms
Be 14 B  14     14    4.35 ms
Be 14 B  12      5    4.35 ms
B  12 C  12   99.4   20.20 ms  
B  12 Be  8    0.6   20.20 ms 
B  13 C  13    100   17.33 ms 
B  14 C  14     94    12.5 ms
B  14 C  13      6    12.5 ms
B  15 C  14    100    9.93 ms
B  17 C  16     63    5.08 ms
B  17 C  17   22.1    5.08 ms
B  17 C  15     11    5.08 ms
B  17 C  14    3.5    5.08 ms
B  17 C  13    0.4    5.08 ms
B  19 C  18     72    2.92 ms
B  19 C  17     16    2.92 ms
B  19 C  16      9    2.92 ms
C  15 N  15    100   2.449 s  
C  16 N  15     99   0.747 s  
C  16 N  16      1   0.747 s  
C  17 N  17     74     193 ms 
C  17 N  16     26     193 ms 
C  18 N  18   68.5      92 ms 
C  18 N  17   31.5      92 ms 
C  19 N  19     46    46.3 ms  
C  19 N  18     47    46.3 ms 
C  19 N  17      7    46.3 ms 
C  20 N  19     65    16.3 ms
C  20 N  20     35    16.3 ms
C  22 N  21     61     6.1 ms
C  22 N  22     39     6.1 ms
N  16 O  16    100    7.13 ms
N  17 O  16     95   4.173 s
N  17 O  17      5   4.173 s
N  18 O  18   73.5     624 ms
N  18 O  17   14.3     624 ms
N  18 C  14   12.2     624 ms
N  19 O  19   45.4     271 ms
N  19 O  18   54.6     271 ms
N  20 O  20   57.1   134.4 ms 
N  20 O  19   42.9   134.4 ms
N  21 O  21     14      84 ms
N  21 O  20     86      84 ms
N  22 O  22     54      23 ms 
N  22 O  21     34      23 ms
N  22 O  20     12      23 ms
N  23 O  23     50    14.1 ms
N  23 O  22     42    14.1 ms
N  23 O  21      8    14.1 ms
O  19 F  19    100   26.88 s 
O  20 F  20    100   13.51 s
O  21 F  21    100    3.42 s
O  22 F  22    100    2.25 s
O  23 F  23     69      82 ms
O  23 F  22     31      82 ms
O  24 F  24     42      65 ms
O  24 F  23     58      65 ms
F  20 Ne 20    100   11.07 s
F  21 Ne 21    100   4.158 s
F  22 Ne 22    100    4.23 s
F  23 Ne 23    100    2.23 s
F  24 Ne 24    100     390 ms
F  25 Ne 25   76.9      80 ms
F  25 Ne 24   23.1      80 ms
F  26 Ne 26   86.5     8.2 ms
F  26 Ne 25   13.5     8.2 ms
F  27 Ne 27     23       5 ms
F  27 Ne 26     77       5 ms
F  29 Ne 28    100     2.5 ms
Ne 23 Na 23    100   37.24 s
Ne 24 Na 24    100    3.38 m
Ne 25 Na 25    100     602 ms
Ne 26 Na 26    100     197 ms
Ne 27 Na 27     98    31.5 ms
Ne 27 Na 26      2    31.5 ms
Ne 28 Na 28   84.3      20 ms
Ne 28 Na 27     12      20 ms
Ne 28 Na 26    3.7      20 ms
Ne 29 Na 29     68      15 ms
Ne 29 Na 28     28      15 ms
Ne 29 Na 27      4      15 ms
Ne 30 Na 30   78.1     7.3 ms
Ne 30 Na 29     13     7.3 ms
Ne 30 Na 28    8.9     7.3 ms
Na 24 Mg 24    100  14.997 h
